,Datetime,Tweet Id,Text,Coordinates,Location,GeoTagged
0,2020-05-10 00:25:44,1259278411677106176,RT @oimo_0imo: Doggo #戌神ころね #できたてころね https://t.co/mv8pTpr2zu,,ネットから離れるかもしれない状態,False
1,2020-05-10 00:25:42,1259278406073618433,@A24 Would my doggo do? https://t.co/F08eaJDU83,,,False
2,2020-05-10 00:25:31,1259278359239876608,RT @LibertyHangout: Just out for a jog https://t.co/3WtnxGQ23T,,,False
3,2020-05-10 00:25:31,1259278358732345344,"朝から尊い。

#ヌシ体温記録⠀35.4℃
#cavalier #ckcs #cavpack #doggo #キャバリア #イヌ充 https://t.co/BpmEjiZog9",,日本,True
4,2020-05-10 00:25:26,1259278335961706497,RT @oimo_0imo: Doggo #戌神ころね #できたてころね https://t.co/mv8pTpr2zu,,"Minneapolis, MN",False
5,2020-05-10 00:25:23,1259278322695122944,RT @oimo_0imo: Doggo #戌神ころね #できたてころね https://t.co/mv8pTpr2zu,,,False
6,2020-05-10 00:25:17,1259278301069053952,RT @evrytimekenzie: here it is ! me with my old doggo :) thank u for this opportunity &amp; second chance @AlfredoFlores. means the absolute wo…,,,False
7,2020-05-10 00:25:15,1259278290151301121,RT @sonicxeon: 絵を1000枚描いたけど上手くならなかったという言葉に対する答え https://t.co/MrNtWHfNtH,,日本,False
8,2020-05-10 00:25:13,1259278283797135366,@ElaraAkuna Oh my god that's horrible!!! I'm so sorry!!!! Yume is such a cute doggo!💔,,,False
9,2020-05-10 00:24:58,1259278219842392072,Hey there! Do you like cute plushies? My bud @Mithzan has a SUPER cute plush campaign of his adorable doggo Galileo… https://t.co/BxBEXF7bo6,,,False
10,2020-05-10 00:24:56,1259278209482399746,RT @cuvellier_meg: #PhotoChallenge2020May (9) Starts with C?  Ummm...this CAKE my kid made me from scratch for Mother's Day! (Token doggo p…,,"Tuscaloosa, AL",False
11,2020-05-10 00:24:54,1259278202150588416,@Smiles4lot I call my doggo Bubas too!!! 🥺🥺🥺 https://t.co/531YcGg2ac,,,True
12,2020-05-10 00:24:50,1259278187839868930,23 nach 2 perfekte zeit den doggo gründlich nach zecken abzusuchen,,,False
13,2020-05-10 00:24:49,1259278180378193920,@KirkClub @BlindMike_ @matthewcarano That’s a good doggo,,,False
14,2020-05-10 00:24:40,1259278142708961280,RT @oimo_0imo: Doggo #戌神ころね #できたてころね https://t.co/mv8pTpr2zu,,,False
15,2020-05-10 00:24:23,1259278071699582980,"@jinoreacts ik you're always down to help a doggo when you can :( 
If you can even just retweet their og post it could probably help.",,Hwaiting to reunite with BTS,False
16,2020-05-10 00:24:21,1259278063428349953,RT @happyhappynemo: Doggo V.S. Mankind,,Republic of Crimea Simferopol,True
17,2020-05-10 00:23:45,1259277911816695809,"RT @DrTippyD: roses are red 
doggo has paws
never sign a contract 
with a no strike clause",,"Westchester - LAX, Los Angeles",False
18,2020-05-10 00:23:43,1259277905009336320,RT @jeonss97: remember when Jungkook bowed to a dog with full of respect cause he’d found out the dog was older than him and wished that do…,,"Hokkaido, Japan",False
19,2020-05-10 00:23:43,1259277904829087746,"i’ve seen several doggo accounts say “just found out the world doesn’t revolve around me” 

but I would like to inf… https://t.co/957IfJZExR",,,True
20,2020-05-10 00:23:38,1259277885539581953,"@hollyshortall Oh. My. Word. 

How proud is this doggo getting the evil cat into the photo. 😍😍😍😍",,"Dublin City, Ireland",True
21,2020-05-10 00:23:30,1259277851875921920,"@cuddlemekoo That what ARMY does! 
I hope your doggo ends up alright. Doggos are family. 💜",,Hwaiting to reunite with BTS,False
22,2020-05-10 00:23:29,1259277845446053888,RT @oimo_0imo: Doggo #戌神ころね #できたてころね https://t.co/mv8pTpr2zu,,日本,False
23,2020-05-10 00:23:25,1259277829637763073,"RT @dogs_zone: This good girl couldn't stop smiling after finding out she was getting adopted 🐶😁

#dogsoftwitter #doglovers #dogs #dogofthe…",,,False
24,2020-05-10 00:22:37,1259277627178786820,RT @Ffs_OMG: Doggo perfectly synced 😍😍😍 https://t.co/tgow4GhSci,,Por el Camino del Triunfo ,False
25,2020-05-10 00:22:34,1259277616122523648,My doggo https://t.co/IHDXNQsJMo,,she/her,False
26,2020-05-10 00:22:29,1259277594228215808,RT @oimo_0imo: Doggo #戌神ころね #できたてころね https://t.co/mv8pTpr2zu,,,True
27,2020-05-10 00:22:28,1259277589216030722,"RT @DrTippyD: roses are red 
doggo has paws
never sign a contract 
with a no strike clause",,"Los Angeles, CA",True
28,2020-05-10 00:21:47,1259277418516414466,"RT @AkaiRiot: my favorite doggo faces
#戌神ころね https://t.co/15nGjEjCgD",,"Fargo, ND",True
29,2020-05-10 00:21:34,1259277364393062401,RT @Ffs_OMG: Doggo perfectly synced 😍😍😍 https://t.co/tgow4GhSci,,"South Africa, Durban ",False
30,2020-05-10 00:21:14,1259277279110156288,RT @jeonss97: remember when Jungkook bowed to a dog with full of respect cause he’d found out the dog was older than him and wished that do…,,,False
31,2020-05-10 00:21:12,1259277270277140484,Doggo in the grass. https://t.co/ie9A2TvSNk,,Life Sucks,False
32,2020-05-10 00:21:03,1259277233950097408,@CaninePolice You called the doggo DOOM 😱,,Canada/Austtralia/NewZealand,False
33,2020-05-10 00:20:54,1259277196990074882,"RT @dogs_zone: This cat doesn’t want to be in the family photo 😂😂

#dogsoftwitter #doglovers #dogs #dogoftheday #doglife #doglover #pets #d…",,𝐒𝐊𝐘,True
34,2020-05-10 00:20:51,1259277184327249921,RT @jeonss97: remember when Jungkook bowed to a dog with full of respect cause he’d found out the dog was older than him and wished that do…,,"Taoyuan County, Taiwan",False
35,2020-05-10 00:20:50,1259277178367143937,RT @oimo_0imo: Doggo #戌神ころね #できたてころね https://t.co/mv8pTpr2zu,,,False
36,2020-05-10 00:20:34,1259277113049460738,RT @jeonss97: remember when Jungkook bowed to a dog with full of respect cause he’d found out the dog was older than him and wished that do…,,in yeontan mind ⠀⠀ ⠀⠀ ⠀⠀⠀⠀   ⠀,False
37,2020-05-10 00:20:33,1259277107340984321,RT @jeonss97: remember when Jungkook bowed to a dog with full of respect cause he’d found out the dog was older than him and wished that do…,,ੈ✩‧₊ HOPE WORLD  ੈ✩‧₊ ↬ ,False
38,2020-05-10 00:20:28,1259277088089128961,"RT @followalexcam: When your dog stops you from meeting friends in isolation on a sunny Saturday
#StayAtHome #COVIDー19
https://t.co/U5vjnZm…",,"London, England",False
39,2020-05-10 00:20:11,1259277018031517697,"@Virum_SD @_taurib Cherry is the MVP

Goth and doggo?! So much yes",,Hello Kitty Land,True
40,2020-05-10 00:20:11,1259277015342936064,RT @oimo_0imo: Doggo #戌神ころね #できたてころね https://t.co/mv8pTpr2zu,,©SEGA PHANTASY STAR ONLINE 2,False
41,2020-05-10 00:20:00,1259276970816409605,RT @wuskythehusky: This doggo made a Fruit tart with orange blossom pastry cream and a white chocolate rose for Mother’s Day tomorrow ☺️ ht…,,France castelnau de médoc,True
42,2020-05-10 00:19:53,1259276942253178880,snow doggo https://t.co/bBIiTyixos,,"Ice Path, Johto",False
43,2020-05-10 00:19:53,1259276938532667393,@MsDixieDiva8253 @Way2gosassy Are people that into buying items that didn't pass inspection are still good though t… https://t.co/DzS2OK6RPv,,Pacific Northwest,True
44,2020-05-10 00:19:37,1259276874854871041,"RT @followalexcam: Saturday quarantine party 🐶🤣
#SaturdayThoughts #dogsduringlockdown
https://t.co/CGYYrFsh29
#SaturdayMotivation #dogs #do…",,"London, England",False
45,2020-05-10 00:19:27,1259276833503080448,RT @oimo_0imo: Doggo #戌神ころね #できたてころね https://t.co/mv8pTpr2zu,,,False
46,2020-05-10 00:19:20,1259276802796580864,RT @TypicalModders: Do you want a chance of winning the doggo admin server-side? Be sure to enter the giveaway! https://t.co/OMGMhiAdMP,,,False
47,2020-05-10 00:19:14,1259276777345728512,Meu doggo ñ me aguenta mais a verdade dói https://t.co/6fatFwyZZc,,BH 🇧🇷/ Lisboa 🇵🇹,True
48,2020-05-10 00:18:44,1259276649343750144,"RT @Hippopeteamus: Ok this meme is ded now, nobody can top this. https://t.co/Rqer5JepKj",,Pacific Northwest,True
49,2020-05-10 00:18:20,1259276550916235267,Ok tks to @laintrepida now I'm on a mission 😂 I'm off to YouTube let see if any generous army shared the show where… https://t.co/AkX2ikrQ9F,,indonesia,False
50,2020-05-10 00:17:59,1259276461862604800,RT @oimo_0imo: Doggo #戌神ころね #できたてころね https://t.co/mv8pTpr2zu,,Lostbelt No.XX 新星共栄王国ソラ,False
51,2020-05-10 00:17:57,1259276455063715840,"RT @AkaiRiot: my favorite doggo faces
#戌神ころね https://t.co/15nGjEjCgD",,gacha hell,False
52,2020-05-10 00:17:52,1259276431642644480,RT @JoyPups: #cute #pup #pupper #doggo #puppy https://t.co/Z4tLdXFeQ4,,愛知県と政令指定都市,False
53,2020-05-10 00:17:40,1259276382581866496,"RT @dogs_zone: This cat doesn’t want to be in the family photo 😂😂

#dogsoftwitter #doglovers #dogs #dogoftheday #doglife #doglover #pets #d…",,,False
54,2020-05-10 00:17:37,1259276370317684737,RT @jeonss97: remember when Jungkook bowed to a dog with full of respect cause he’d found out the dog was older than him and wished that do…,,+63,True
55,2020-05-10 00:17:09,1259276253804273664,"RT @dogs_zone: This cat doesn’t want to be in the family photo 😂😂

#dogsoftwitter #doglovers #dogs #dogoftheday #doglife #doglover #pets #d…",,suburbs of Pittsburgh....,True
56,2020-05-10 00:17:08,1259276248263475200,"RT @dogs_zone: This cat doesn’t want to be in the family photo 😂😂

#dogsoftwitter #doglovers #dogs #dogoftheday #doglife #doglover #pets #d…",,"Cyberjaya, Malaysia",True
57,2020-05-10 00:16:48,1259276162628542467,@TheJBear This has nothing on cute doggo playing DOOM,,New Zack Island,False
58,2020-05-10 00:16:24,1259276063592464385,@zerowondering can you show us your doggo,,,False
59,2020-05-10 00:15:43,1259275893647781888,Doodling derpy doggo #drawing #digital #doggo https://t.co/KxoTDUQrTc,,Minneapolis-ish (Eden Prairie),True
60,2020-05-10 00:15:33,1259275850211643392,@CatboiAoi This doggo does! :3,,"Wisconsin, USA",False
61,2020-05-10 00:15:15,1259275772793102337,это я https://t.co/eKVo1YP4oc,,Jurassic Park,True
62,2020-05-10 00:15:12,1259275761476751363,"RT @dogs_zone: This cat doesn’t want to be in the family photo 😂😂

#dogsoftwitter #doglovers #dogs #dogoftheday #doglife #doglover #pets #d…",,,False
63,2020-05-10 00:14:43,1259275641201012736,"Dangerous doggo begin’ for belly rubs 
#petstory #dogblog #dogs #doglife #doglover #rottweiler #dangerousdog… https://t.co/0q0xgTz1EG",,"Karachi, Pakistan",True
64,2020-05-10 00:14:38,1259275618644103169,"@softxtiny Sending the happiest doggo vibes you’re way, hope you feel better soon xox https://t.co/5mE1lnhMwv",,Vegetarian ,False
65,2020-05-10 00:14:27,1259275572632526849,RT @oimo_0imo: Doggo #戌神ころね #できたてころね https://t.co/mv8pTpr2zu,,,False
66,2020-05-10 00:14:23,1259275558111924241,RT @jeonss97: remember when Jungkook bowed to a dog with full of respect cause he’d found out the dog was older than him and wished that do…,,🇲🇽,False
67,2020-05-10 00:14:13,1259275515073925121,@batbootyho Im jealous of whatever angels they have up in doggo heaven that get to have this kind of loving boy all… https://t.co/tSrxBTaWk5,,,True
68,2020-05-10 00:14:01,1259275463261913088,@doggo_bean @eightball_god 1 &amp; 5,,He/Him,False
69,2020-05-10 00:14:01,1259275462125076480,RT @jeonss97: remember when Jungkook bowed to a dog with full of respect cause he’d found out the dog was older than him and wished that do…,,chmile,False
70,2020-05-10 00:13:54,1259275433788481537,RT @jeonss97: remember when Jungkook bowed to a dog with full of respect cause he’d found out the dog was older than him and wished that do…,,ᶠᵃⁿ ᵃᶜᶜᵒᵘⁿᵗ 💫,False
71,2020-05-10 00:13:41,1259275379212267521,@f00dventuresRD That is a beautiful doggo😍😍,,,False
72,2020-05-10 00:13:30,1259275334282690560,Puppiesssssss https://t.co/rjYY15ovXb,,,False
73,2020-05-10 00:13:25,1259275311373484033,RT @Megacoolbear: Lil doggo wasn't afraid to get his paws musky https://t.co/n9WuQLhqa6,,"North Carolina, USA",False
74,2020-05-10 00:12:22,1259275050550800387,@SnarfsDad From one doggo dad to one cat dad I send my condolences. Snarf was a good girl. 💔💔,,"New York, USA",True
75,2020-05-10 00:12:11,1259275004442804224,RT @fletchposie: i tried but it's hard with no doggo 🥴🥴 #BobMorleyChallenge https://t.co/5udVykpF9v,,,False
76,2020-05-10 00:12:09,1259274992782651394,"RT @MiltonTPike1: Erin and I have officially decided on the doggo's name, if we get him:

""Hammernuts"".

""Hammy"" for short. https://t.co/6l…",,"Maryland, USA",False
77,2020-05-10 00:11:38,1259274863006662656,RT @oimo_0imo: Doggo #戌神ころね #できたてころね https://t.co/mv8pTpr2zu,,OH,False
78,2020-05-10 00:11:37,1259274862125887491,"RT @dogs_zone: This cat doesn’t want to be in the family photo 😂😂

#dogsoftwitter #doglovers #dogs #dogoftheday #doglife #doglover #pets #d…",,"Saskatoon, Saskatchewan",False
79,2020-05-10 00:11:29,1259274827707244544,"RT @dogs_zone: This cat doesn’t want to be in the family photo 😂😂

#dogsoftwitter #doglovers #dogs #dogoftheday #doglife #doglover #pets #d…",,,True
80,2020-05-10 00:11:20,1259274789237055488,RT @armm2015: @Salvesayson @cpjayloni @AcpaLhaz @ALDubFTnQT @santos_08Bern @BitchGo2Hell @estrellanimer10 @lace_tess @pipayski1018 @VidaDal…,,,False
81,2020-05-10 00:11:12,1259274756160774145,@Cool_Gives @SiovoSells @e_Doggo_ woah,,Code twtr-laser_nic,False
82,2020-05-10 00:11:12,1259274754420142082,"RT @dogs_zone: This cat doesn’t want to be in the family photo 😂😂

#dogsoftwitter #doglovers #dogs #dogoftheday #doglife #doglover #pets #d…",,Nyempil di Ujung Kulon,True
83,2020-05-10 00:11:00,1259274703220420608,@backup_radio https://t.co/gSOPS6Qb59,,hell 2,True
84,2020-05-10 00:10:58,1259274698401157122,@SLeesi17 Poor baby! Hope the doggo &amp; human are ok!,,"Minnesota, USA",True
85,2020-05-10 00:10:55,1259274685788946432,@Neleimour This is doggo’s sleepy face,,"Florida, USA",True
86,2020-05-10 00:10:47,1259274650187685888,ъеъ https://t.co/NMuakOXXSP,,Jurassic Park,True
87,2020-05-10 00:10:29,1259274574388060162,"RT @HeWhoLovesWords: Sweet Bebe Boo Boo, crashed on the couch. Zelda sure has a beautiful coat, no?

🤩😍😁 

#TeamZelda #dogsoftwitter #dogsd…",,"Las Vegas, NV",False
88,2020-05-10 00:10:26,1259274562207748097,RT @oimo_0imo: Doggo #戌神ころね #できたてころね https://t.co/mv8pTpr2zu,,ビッグサイトとかPioとかに居ます,False
89,2020-05-10 00:10:09,1259274489684246531,RT @KlatuBaradaNiko: 👑🦁 king Doggo 🐶 https://t.co/aeLZCxqu71,,"Brié-et-Angonnes, France",False
90,2020-05-10 00:10:00,1259274451654520832,RT @jeonss97: remember when Jungkook bowed to a dog with full of respect cause he’d found out the dog was older than him and wished that do…,,,False
91,2020-05-10 00:09:57,1259274440212393985,RT @jeonss97: remember when Jungkook bowed to a dog with full of respect cause he’d found out the dog was older than him and wished that do…,,,False
92,2020-05-10 00:09:54,1259274427532890113,"RT @lootcrate: #Deadpool tee + sleepy doggo = ❤️🖤❤️! Thanks for sharing your loot with us, roxi_horror (IG)! 

Share your loot with us usin…",,"Bakersfield, CA",True
93,2020-05-10 00:09:32,1259274336306786305,RT @oimo_0imo: Doggo #戌神ころね #できたてころね https://t.co/mv8pTpr2zu,,広島県,False
94,2020-05-10 00:09:30,1259274326307598336,RT @jeonss97: remember when Jungkook bowed to a dog with full of respect cause he’d found out the dog was older than him and wished that do…,,she/her || bangpink + ggs,False
95,2020-05-10 00:09:28,1259274317034074115,RT @TheMassiveMK: X Æ A-12 enjoying his breakfast before school https://t.co/j34mtGY4Cv,,Find me 👀,False
96,2020-05-10 00:09:02,1259274209848516608,@Drift0r Sun doggo happy doggo,,Michigan,False
97,2020-05-10 00:08:55,1259274179897163783,@_demiaa Choice,,,False
98,2020-05-10 00:08:52,1259274167230386177,@Xyrehx doggo,,+^*!,False
99,2020-05-10 00:08:38,1259274108086497281,"@WxldLegoshi “I- um”

Jack chuckled nervously as he looked back up at you and kissed you on the lips",,Cherryton academy,False
